t,hid,x,y,r
0.000,0,1.8000,-0.7732,0.299
0.000,1,2.6200,-0.1546,0.289
0.000,2,3.4400,-0.4962,0.267
0.000,3,4.2600,-0.4292,0.276
0.000,4,5.0800,-0.3628,0.329
0.000,5,5.9000,-1.5277,0.307
0.000,6,6.7200,-0.2159,0.328
0.000,7,7.5400,-0.7038,0.305
0.000,8,8.3600,-0.6337,0.282
0.000,9,9.1800,0.4603,0.278
0.000,10,10.0000,-1.2969,0.305
0.000,11,10.8200,0.0249,0.275
0.000,12,11.6400,-1.4798,0.320
0.000,13,12.4600,0.9394,0.266
0.000,14,13.2800,0.7330,0.318
0.000,15,14.1000,0.5628,0.295
0.040,0,1.8000,-0.7926,0.299
0.040,1,2.6200,-0.1504,0.289
0.040,2,3.4400,-0.4832,0.267
0.040,3,4.2600,-0.4075,0.276
0.040,4,5.0800,-0.3870,0.329
0.040,5,5.9000,-1.5523,0.307
0.040,6,6.7200,-0.2244,0.328
0.040,7,7.5400,-0.7215,0.305
0.040,8,8.3600,-0.6338,0.282
0.040,9,9.1800,0.4829,0.278
0.040,10,10.0000,-1.2959,0.305
0.040,11,10.8200,0.0379,0.275
0.040,12,11.6400,-1.4644,0.320
0.040,13,12.4600,0.9232,0.266
0.040,14,13.2800,0.7093,0.318
0.040,15,14.1000,0.5889,0.295
0.080,0,1.8000,-0.8118,0.299
0.080,1,2.6200,-0.1465,0.289
0.080,2,3.4400,-0.4706,0.267
0.080,3,4.2600,-0.3862,0.276
0.080,4,5.0800,-0.4108,0.329
0.080,5,5.9000,-1.5766,0.307
0.080,6,6.7200,-0.2327,0.328
0.080,7,7.5400,-0.7389,0.305
0.080,8,8.3600,-0.6337,0.282
0.080,9,9.1800,0.5052,0.278
0.080,10,10.0000,-1.2952,0.305
0.080,11,10.8200,0.0507,0.275
0.080,12,11.6400,-1.4494,0.320
0.080,13,12.4600,0.9072,0.266
0.080,14,13.2800,0.6860,0.318
0.080,15,14.1000,0.6149,0.295
0.120,0,1.8000,-0.8308,0.299
0.120,1,2.6200,-0.1429,0.289
0.120,2,3.4400,-0.4583,0.267
0.120,3,4.2600,-0.3652,0.276
0.120,4,5.0800,-0.4342,0.329
0.120,5,5.9000,-1.6006,0.307
0.120,6,6.7200,-0.2408,0.328
0.120,7,7.5400,-0.7561,0.305
0.120,8,8.3600,-0.6333,0.282
0.120,9,9.1800,0.5271,0.278
0.120,10,10.0000,-1.2948,0.305
0.120,11,10.8200,0.0631,0.275
0.120,12,11.6400,-1.4347,0.320
0.120,13,12.4600,0.8915,0.266
0.120,14,13.2800,0.6630,0.318
0.120,15,14.1000,0.6407,0.295
0.160,0,1.8000,-0.8496,0.299
0.160,1,2.6200,-0.1396,0.289
0.160,2,3.4400,-0.4463,0.267
0.160,3,4.2600,-0.3445,0.276
0.160,4,5.0800,-0.4574,0.329
0.160,5,5.9000,-1.6243,0.307
0.160,6,6.7200,-0.2486,0.328
0.160,7,7.5400,-0.7729,0.305
0.160,8,8.3600,-0.6326,0.282
0.160,9,9.1800,0.5488,0.278
0.160,10,10.0000,-1.2948,0.305
0.160,11,10.8200,0.0753,0.275
0.160,12,11.6400,-1.4203,0.320
0.160,13,12.4600,0.8759,0.266
0.160,14,13.2800,0.6402,0.318
0.160,15,14.1000,0.6663,0.295
0.200,0,1.8000,-0.8681,0.299
0.200,1,2.6200,-0.1365,0.289
0.200,2,3.4400,-0.4346,0.267
0.200,3,4.2600,-0.3240,0.276
0.200,4,5.0800,-0.4803,0.329
0.200,5,5.9000,-1.6476,0.307
0.200,6,6.7200,-0.2563,0.328
0.200,7,7.5400,-0.7895,0.305
0.200,8,8.3600,-0.6317,0.282
0.200,9,9.1800,0.5701,0.278
0.200,10,10.0000,-1.2952,0.305
0.200,11,10.8200,0.0872,0.275
0.200,12,11.6400,-1.4063,0.320
0.200,13,12.4600,0.8605,0.266
0.200,14,13.2800,0.6178,0.318
0.200,15,14.1000,0.6917,0.295
0.240,0,1.8000,-0.8865,0.299
0.240,1,2.6200,-0.1338,0.289
0.240,2,3.4400,-0.4233,0.267
0.240,3,4.2600,-0.3039,0.276
0.240,4,5.0800,-0.5028,0.329
0.240,5,5.9000,-1.6707,0.307
0.240,6,6.7200,-0.2638,0.328
0.240,7,7.5400,-0.8058,0.305
0.240,8,8.3600,-0.6305,0.282
0.240,9,9.1800,0.5910,0.278
0.240,10,10.0000,-1.2959,0.305
0.240,11,10.8200,0.0989,0.275
0.240,12,11.6400,-1.3926,0.320
0.240,13,12.4600,0.8454,0.266
