t,x,y,z,clr,ms
0.000,0.0000,0.0000,2.0000,1.6596,0.00
0.040,0.0059,0.0020,2.0000,1.6627,2.81
0.080,0.0420,0.0142,2.0000,1.6429,2.81
0.120,0.1253,0.0433,2.0000,1.5896,2.81
0.160,0.2609,0.0922,2.0000,1.5050,2.81
0.200,0.4443,0.1613,2.0000,1.4028,2.81
0.240,0.4501,0.1656,2.0000,1.4120,2.13
0.280,0.4853,0.1914,2.0000,1.4121,2.13
0.320,0.5675,0.2501,2.0000,1.4018,2.13
0.360,0.7024,0.3438,2.0000,1.3898,2.13
0.400,0.8873,0.4676,2.0000,1.3930,2.13
0.440,0.8932,0.4713,2.0000,1.4075,2.05
0.480,0.9296,0.4936,2.0000,1.4223,2.05
0.520,1.0141,0.5443,2.0000,1.4412,2.05
0.560,1.1523,0.6252,2.0000,1.3577,2.05
0.600,1.3408,0.7320,2.0000,1.2486,2.05
0.640,1.3473,0.7345,2.0004,1.2447,7.99
0.680,1.3864,0.7498,2.0024,1.2214,7.99
0.720,1.4763,0.7845,2.0066,1.1707,7.99
0.760,1.6219,0.8400,2.0124,1.0983,7.99
0.800,1.8180,0.9137,2.0185,1.0232,7.99
0.840,1.8223,0.9154,2.0180,1.0231,6.60
0.880,1.8494,0.9259,2.0152,1.0167,6.60
0.920,1.9134,0.9504,2.0092,1.0021,6.60
0.960,2.0210,0.9907,2.0006,0.9839,6.60
1.000,2.1724,1.0456,1.9910,0.9739,6.60
1.040,2.1772,1.0468,1.9917,0.9760,4.73
1.080,2.2073,1.0537,1.9963,0.9754,4.73
1.120,2.2781,1.0699,2.0057,0.9730,4.73
1.160,2.3964,1.0965,2.0191,0.9762,4.73
1.200,2.5616,1.1328,2.0341,0.9984,4.73
1.240,2.5674,1.1347,2.0333,1.0044,6.92
1.280,2.6030,1.1465,2.0290,1.0197,6.92
1.320,2.6855,1.1734,2.0200,1.0529,6.92
1.360,2.8207,1.2166,2.0073,1.1140,6.92
1.400,3.0051,1.2740,1.9932,1.2127,6.92
1.440,3.0116,1.2757,1.9940,1.2216,6.21
1.480,3.0509,1.2857,1.9986,1.2477,6.21
1.520,3.1412,1.3086,2.0081,1.2981,6.21
1.560,3.2870,1.3453,2.0211,1.2351,6.21
1.600,3.4828,1.3941,2.0350,1.1500,6.21
1.640,3.4888,1.3950,2.0361,1.1396,3.14
1.680,3.5253,1.3999,2.0424,1.1165,3.14
1.720,3.6100,1.4102,2.0557,1.0755,3.14
1.760,3.7482,1.4250,2.0750,1.0215,3.14
1.800,3.9360,1.4419,2.0974,0.9694,3.14
1.840,3.9428,1.4427,2.0992,0.9610,3.98
1.880,3.9842,1.4471,2.1099,0.9487,3.98
1.920,4.0794,1.4552,2.1326,0.9339,3.98
1.960,4.2334,1.4644,2.1659,0.9270,3.98
2.000,4.4403,1.4706,2.2047,0.9455,3.98
2.040,4.4444,1.4718,2.2047,0.9410,7.06
2.080,4.4697,1.4788,2.2050,0.9460,7.06
2.120,4.5294,1.4938,2.2064,0.9668,7.06
2.160,4.6295,1.5159,2.2107,1.0086,7.06
2.200,4.7698,1.5416,2.2198,1.0758,7.06
2.240,4.7741,1.5383,2.2180,1.0697,4.37
2.280,4.8009,1.5190,2.2077,1.0570,4.37
2.320,4.8647,1.4761,2.1851,1.0392,4.37
2.360,4.9724,1.4098,2.1509,1.0290,4.37
2.400,5.1247,1.3261,2.1090,1.0472,4.37
2.440,5.1293,1.3238,2.1069,1.0457,3.76
2.480,5.1575,1.3104,2.0949,1.0514,3.76
2.520,5.2237,1.2822,2.0684,1.0736,3.76
2.560,5.3337,1.2417,2.0278,1.1250,3.76
2.600,5.4866,1.1961,1.9774,1.2174,3.76
2.640,5.4931,1.1935,1.9803,1.2202,3.49
2.680,5.5325,1.1793,1.9973,1.2440,3.49
2.720,5.6225,1.1510,2.0345,1.3053,3.49
